# FakeX    FakeY   DiffX   DiffY   PSFMag   PSFMagErr  Matched   Deblend   Extended 
1258.49    652.71     0.13     0.22   24.131   0.074    single  isolate  1 
1171.30   1266.32     0.12    -0.21   23.963   0.065  multiple  deblend  0 
1832.68   3210.27    -0.05    -0.23   24.088   0.073    single  isolate  0 
 495.98   3174.41    -0.00     0.23   23.941   0.065    single  deblend  0 
 839.22   1590.61    -0.10     0.25   24.150   0.075    single  isolate  0 
1180.75   3914.05    -0.10    -0.18   23.873   0.062    single  isolate  1 
1267.62    325.56    -0.03     0.25   23.849   0.059    single  isolate  0 
1351.36   2079.68     0.13    -0.05   24.151   0.076    single  isolate  0 
1817.65   3132.53     0.18     0.27   24.159   0.077    single  isolate  1 
 720.39   3175.70     0.25     0.27   23.899   0.063    single  deblend  0 
1526.89   1483.68    -0.04     0.04   24.185   0.078    single  deblend  0 
1792.41   2873.81     0.16    -0.07   24.304   0.087    single  isolate  0 
1476.85    542.69    -0.19    -0.01   24.137   0.075    single  isolate  0 
 352.20   2717.10     0.15    -0.07   24.201   0.080    single  isolate  0 
 299.89   3708.59     0.17     0.20   23.914   0.064    single  isolate  1 
1832.72   2256.12     0.07    -0.12   23.950   0.065  multiple  deblend  0 
1197.13   3671.34     0.26     0.00   23.991   0.068    single  isolate  0 
 718.12   2381.05     0.04    -0.03   24.000   0.067    single  isolate  0 
1915.36    143.70     0.15    -0.03   23.925   0.064    single  isolate  1 
1095.51    207.96    -0.14     0.14   24.041   0.069    single  isolate  1 
 851.34   2255.34    -0.04    -0.07   23.947   0.064    single  isolate  0 
 225.78   2225.78     0.07     0.07   24.058   0.071    single  isolate  0 
  26.26   3215.00    -0.07     0.29   23.956   0.066    single  deblend  0 
1424.21    975.52     0.02    -0.11   24.054   0.070    single  isolate  0 
1202.65   1099.39    -0.41     0.05   24.090   0.072    single  isolate  0 
 314.84   3974.82    -0.05     0.14   24.024   0.071    single  isolate  0 
1172.18   2558.52    -0.13     0.45   23.584   0.049  multiple  deblend  1 
 127.55   2359.98     0.20     0.14   23.975   0.066    single  deblend  1 
1006.60   2436.36    -0.15    -0.08   24.057   0.070    single  isolate  0 
  59.35    366.20     0.06    -0.05   23.757   0.055    single  deblend  1 
 597.78    514.47     0.07    -0.18   24.083   0.071    single  isolate  0 
1843.14    418.08     0.34     0.03   24.072   0.071    single  isolate  0 
1843.14    418.08    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 227.57    323.79    -0.02    -0.04   23.918   0.062    single  isolate  0 
1603.79    938.76    -0.17     0.30   24.095   0.072    single  isolate  0 
1521.32   1254.48     0.01     0.01   24.016   0.068    single  isolate  0 
2004.15   2751.57    -0.07    -0.12   23.900   0.063    single  isolate  1 
  57.19    161.76    -0.52     0.74   23.765   0.055    single  isolate  1 
1694.76   1725.94     0.20    -0.10   23.992   0.067    single  deblend  0 
1397.62   3258.72    -0.16     0.05   24.019   0.069    single  isolate  1 
1955.97     68.74    -0.27    -0.16   23.985   0.067    single  isolate  0 
 653.42    608.02     0.19    -0.06   24.192   0.078    single  isolate  0 
1408.40   1217.83     0.01     0.35   24.172   0.077    single  deblend  1 
1942.03   1722.83    -0.20    -0.21   24.209   0.080    single  isolate  0 
 865.24   2797.12     0.31     0.48   24.098   0.073    single  isolate  0 
1782.05   2792.46    -0.02     0.19   23.978   0.066    single  isolate  1 
 361.18    265.41     0.11     0.28   24.043   0.069    single  isolate  0 
  98.84   1149.29     0.12     0.11   24.047   0.069    single  isolate  0 
 191.10   3450.08     0.14    -0.28   24.077   0.073    single  isolate  0 
1778.54   3596.49     0.12     0.08   23.945   0.065    single  isolate  0 
1409.30   2162.54    -0.11     0.03   24.170   0.077    single  isolate  0 
 649.23    404.14    -0.07    -0.12   24.120   0.073    single  isolate  0 
1626.79   2980.32     0.68    -0.21   23.934   0.064    single  isolate  1 
 417.89   3238.36     0.08     0.10   23.947   0.065    single  isolate  0 
