# FakeX    FakeY   DiffX   DiffY   PSFMag   PSFMagErr  Matched   Deblend   Extended 
1258.49    652.71    -0.01     0.08   24.016   0.059    single  isolate  1 
1171.30   1266.32     0.23    -0.33   23.914   0.054    single  isolate  1 
1832.68   3210.27     0.15     0.10   24.004   0.058    single  isolate  1 
 495.98   3174.41    -0.14     0.25   24.014   0.059    single  deblend  0 
 839.22   1590.61    -0.03     0.11   24.041   0.060    single  isolate  0 
1180.75   3914.05    -0.13     0.00   24.009   0.058    single  isolate  1 
1267.62    325.56     0.07    -0.08   24.046   0.060  multiple  deblend  0 
1351.36   2079.68    -0.05    -0.13   24.119   0.064    single  isolate  0 
1817.65   3132.53     0.24     0.12   24.201   0.068    single  isolate  0 
 720.39   3175.70    -0.05    -0.18   24.004   0.058    single  isolate  0 
1526.89   1483.68    -0.02    -0.09   24.135   0.065    single  isolate  0 
1792.41   2873.81    -0.03     0.11   23.974   0.056    single  deblend  0 
1476.85    542.69     0.16    -0.16   24.052   0.061    single  isolate  0 
 352.20   2717.10    -0.10    -0.06   24.006   0.059    single  isolate  0 
 299.89   3708.59     0.05     0.01   24.095   0.064    single  isolate  0 
1832.72   2256.12     0.11     0.08   24.085   0.062    single  isolate  0 
1197.13   3671.34    -0.03    -0.36   24.256   0.072    single  deblend  0 
 718.12   2381.05     0.05    -0.05   24.121   0.064    single  isolate  0 
1915.36    143.70     0.29     0.50   23.703   0.046    single  isolate  1 
1095.51    207.96     0.09     0.25   24.142   0.065    single  isolate  0 
 851.34   2255.34     0.03    -0.05   24.124   0.064    single  deblend  0 
 225.78   2225.78    -0.07     0.31   24.050   0.061    single  isolate  1 
  26.26   3215.00    -0.09    -0.08   24.020   0.061  multiple  isolate  1 
1424.21    975.52    -0.05    -0.10   24.105   0.063    single  isolate  0 
1202.65   1099.39    -0.17     0.16   24.064   0.061    single  isolate  0 
 314.84   3974.82    -0.05    -0.19   24.086   0.063    single  deblend  1 
1172.18   2558.52    -0.05    -0.06   24.019   0.058    single  isolate  0 
 127.55   2359.98    -0.21     0.06   24.108   0.065    single  isolate  1 
1006.60   2436.36    -0.02    -0.09   24.268   0.072    single  isolate  0 
  59.35    366.20     0.23    -0.03   23.998   0.058    single  deblend  1 
 597.78    514.47     0.02    -0.21   24.004   0.058    single  isolate  0 
1843.14    418.08     0.76     0.54   23.668   0.044    single  isolate  1 
 918.97   1960.33     0.29    -0.08   24.134   0.065    single  isolate  0 
