# FakeX    FakeY   DiffX   DiffY   PSFMag   PSFMagErr  Matched   Deblend   Extended 
1258.49    652.71     0.04    -0.08   23.030   0.042    single  isolate  0 
1171.30   1266.32    -0.01     0.01   23.057   0.042    single  isolate  0 
1832.68   3210.27    -0.07     0.03   23.056   0.042    single  isolate  0 
 495.98   3174.41     0.02    -0.02   23.021   0.041    single  isolate  0 
 839.22   1590.61     0.01    -0.14   23.081   0.042    single  isolate  0 
1180.75   3914.05    -0.02    -0.07   23.045   0.041    single  isolate  0 
1267.62    325.56     0.03     0.01   23.005   0.041  multiple  deblend  0 
1351.36   2079.68    -0.00     0.01   23.026   0.041    single  isolate  0 
1817.65   3132.53    -0.03     0.05   23.050   0.041    single  isolate  0 
 720.39   3175.70    -0.13    -0.26   23.308   0.046    single  deblend  1 
1526.89   1483.68     0.10     0.12   23.030   0.041    single  deblend  0 
1792.41   2873.81    -0.08     0.02   23.067   0.042    single  isolate  0 
1476.85    542.69    -0.03     0.01   23.026   0.042    single  isolate  0 
 352.20   2717.10     0.00     0.04   23.035   0.041  multiple  deblend  0 
 299.89   3708.59    -0.04     0.03   23.109   0.042    single  isolate  0 
1832.72   2256.12    -0.07    -0.02   23.043   0.041    single  isolate  0 
1197.13   3671.34     0.03     0.14   23.399   0.048    single  deblend  0 
 718.12   2381.05    -0.23    -1.06   22.796   0.039    single  deblend  1 
1915.36    143.70    -0.06     0.01   22.987   0.042    single  deblend  0 
1095.51    207.96     0.07    -0.08   23.051   0.042  multiple  isolate  0 
 851.34   2255.34     0.05    -0.08   23.003   0.041    single  deblend  0 
 225.78   2225.78     0.00    -0.01   23.088   0.042  multiple  deblend  0 
  26.26   3215.00    -0.07     0.04   23.095   0.042    single  isolate  0 
1424.21    975.52     0.02    -0.02   22.992   0.041    single  isolate  0 
1202.65   1099.39    -0.10     0.04   23.051   0.042    single  isolate  0 
 314.84   3974.82     0.04    -0.04   23.069   0.042    single  isolate  0 
1172.18   2558.52     0.03    -0.05   23.013   0.041    single  isolate  0 
 127.55   2359.98     0.05    -0.02   23.061   0.042  multiple  deblend  0 
1006.60   2436.36    -0.04     0.03   23.054   0.041    single  isolate  0 
  59.35    366.20     0.04    -0.06   23.038   0.042    single  deblend  0 
 597.78    514.47    -0.06     0.01   23.063   0.042    single  deblend  0 
1843.14    418.08    -0.03    -0.01   23.033   0.042    single  isolate  0 
 918.97   1960.33    -0.01     0.00   23.050   0.041    single  isolate  0 
 227.57    323.79     0.00     0.01   23.039   0.042  multiple  deblend  0 
1603.79    938.76    -0.03     0.09   22.957   0.041    single  isolate  1 
1521.32   1254.48    -0.15     0.14   22.927   0.040    single  isolate  1 
2004.15   2751.57    -0.02    -0.07   22.998   0.041    single  isolate  0 
2004.15   2751.57    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
