# FakeX    FakeY   DiffX   DiffY   PSFMag   PSFMagErr  Matched   Deblend   Extended 
1258.49    652.71    -0.02     0.12   22.864   0.032    single  deblend  1 
1171.30   1266.32    -0.02     0.04   23.030   0.034    single  isolate  0 
1832.68   3210.27     0.03     0.08   23.116   0.035    single  isolate  0 
1832.68   3210.27    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 839.22   1590.61     0.04     0.03   23.022   0.034    single  isolate  0 
1180.75   3914.05    -0.14     0.01   22.983   0.032    single  isolate  0 
1267.62    325.56    -0.02    -0.06   23.008   0.034    single  isolate  0 
1351.36   2079.68     0.66    -0.53   20.345   0.023  multiple  isolate  1 
1817.65   3132.53    -0.01     0.05   23.062   0.034    single  isolate  0 
 720.39   3175.70     0.04     0.04   23.023   0.033    single  deblend  0 
1526.89   1483.68     0.02     0.35   22.833   0.031    single  isolate  1 
1792.41   2873.81     0.00    -0.05   23.013   0.033    single  deblend  0 
1476.85    542.69    -0.05    -0.08   23.062   0.035    single  isolate  0 
 352.20   2717.10     0.09     0.07   23.152   0.036    single  isolate  0 
 299.89   3708.59     0.10    -0.02   23.049   0.034    single  isolate  0 
1832.72   2256.12     0.06    -0.05   22.999   0.033    single  isolate  0 
1197.13   3671.34    -0.05    -0.11   23.007   0.033  multiple  isolate  0 
 718.12   2381.05    -0.08    -0.09   23.014   0.034    single  isolate  0 
1915.36    143.70    -0.23     0.10   23.104   0.036    single  deblend  0 
1095.51    207.96     0.00    -0.02   23.036   0.034  multiple  isolate  0 
 851.34   2255.34     0.07    -0.06   23.006   0.033    single  isolate  0 
 225.78   2225.78    -0.07    -0.06   23.164   0.036    single  isolate  0 
  26.26   3215.00    -0.05    -0.01   22.928   0.033    single  deblend  1 
1424.21    975.52    -0.05     0.02   22.998   0.034    single  isolate  0 
1202.65   1099.39    -0.00    -0.08   23.002   0.034    single  isolate  0 
 314.84   3974.82    -0.01    -0.08   23.083   0.034    single  isolate  0 
1172.18   2558.52     0.03     0.06   23.022   0.034    single  isolate  0 
 127.55   2359.98     0.04     0.05   23.060   0.035  multiple  isolate  0 
1006.60   2436.36    -0.07    -0.08   23.059   0.034    single  isolate  0 
  59.35    366.20     0.04    -0.02   23.122   0.036    single  isolate  0 
 597.78    514.47     0.03    -0.04   23.065   0.035  multiple  isolate  0 
1843.14    418.08     0.05     0.01   23.104   0.036    single  isolate  0 
 918.97   1960.33     0.01    -0.03   23.093   0.035    single  isolate  0 
 227.57    323.79    -0.01     0.00   23.014   0.034  multiple  isolate  0 
 227.57    323.79    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1521.32   1254.48    -0.08    -0.02   22.976   0.033    single  isolate  0 
2004.15   2751.57    -0.07     0.03   23.094   0.035    single  isolate  0 
  57.19    161.76    -0.03     0.04   23.106   0.036    single  isolate  0 
1694.76   1725.94    -0.01     0.23   23.034   0.034    single  isolate  0 
1397.62   3258.72    -0.00     0.09   23.016   0.033    single  isolate  0 
1955.97     68.74    -0.07    -0.22   23.146   0.037    single  deblend  1 
 653.42    608.02     0.08     0.04   23.073   0.035    single  isolate  0 
1408.40   1217.83     0.02     0.04   23.030   0.034  multiple  deblend  0 
1942.03   1722.83    -0.11    -0.01   23.057   0.034    single  isolate  0 
 865.24   2797.12     0.02     0.02   22.996   0.033  multiple  isolate  0 
1782.05   2792.46    -0.01    -0.01   23.076   0.034    single  isolate  0 
 361.18    265.41     0.01    -0.09   23.071   0.035    single  deblend  0 
  98.84   1149.29     0.08    -0.03   23.031   0.035    single  deblend  1 
 191.10   3450.08     0.00    -0.03   23.041   0.034    single  deblend  0 
1778.54   3596.49    -0.08     0.01   23.050   0.034  multiple  deblend  0 
1409.30   2162.54    -0.08     0.08   23.065   0.034    single  isolate  0 
1409.30   2162.54    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1626.79   2980.32     0.06    -0.09   22.998   0.033    single  isolate  0 
1626.79   2980.32    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 302.12   3902.85    -0.02    -0.02   23.105   0.035    single  isolate  0 
1365.46   3798.82    -0.00    -0.09   23.028   0.033    single  deblend  1 
  75.44   2229.77     0.04     0.05   23.059   0.035    single  isolate  0 
 816.42   3888.02    -0.12     0.11   23.044   0.033    single  isolate  0 
 816.42   3888.02    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 314.89    996.49     0.03     0.00   23.030   0.034    single  isolate  0 
  20.73    550.17     0.27    -0.17   23.099   0.036    single  isolate  0 
 923.02   1489.35     0.02     0.08   23.020   0.034    single  isolate  0 
 609.49   3755.03    -0.05     0.20   23.078   0.034    single  isolate  0 
 857.05   4142.86    -0.01     0.15   22.978   0.032    single  isolate  0 
1815.08   3448.19     0.02    -0.00   22.989   0.033    single  isolate  0 
1382.24   3810.80    -0.01    -0.03   22.980   0.032    single  isolate  0 
 553.19   1256.28     0.01    -0.04   23.021   0.034    single  isolate  0 
1271.59   2698.30     0.03     0.06   23.030   0.034    single  isolate  0 
 583.07   1864.82     0.04    -0.10   23.064   0.035    single  isolate  0 
 583.07   1864.82    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
1413.47   2058.81     0.08    -0.01   22.971   0.033  multiple  isolate  0 
1413.47   2058.81    -1.00    -1.00    0.000   0.000   nomatch  isolate  -1 
 851.10   3947.54    -0.02    -0.02   23.052   0.034    single  isolate  0 
 205.73   1659.96     0.03    -0.01   23.107   0.036    single  isolate  0 
1640.13   1581.43    -0.03     0.11   23.075   0.035    single  isolate  0 
 445.03   3784.29    -0.02    -0.00   23.124   0.035    single  isolate  0 
1101.37   3519.15    -0.03    -0.01   23.043   0.034    single  isolate  0 
 217.78   2472.23    -0.04     0.05   23.053   0.034  multiple  deblend  0 
 250.68   3273.76    -0.03    -0.00   23.026   0.034    single  isolate  0 
1525.29   2600.24    -0.09    -0.01   23.015   0.033    single  isolate  0 
 879.25   3663.97    -0.02     0.00   23.072   0.034    single  isolate  0 
 818.24   2246.35     0.03    -0.09   22.990   0.033    single  isolate  1 
 120.71   3185.01     0.01    -0.08   23.092   0.035    single  isolate  0 
 561.98   1494.40     0.07     0.20   22.860   0.032    single  isolate  1 
1881.08   1513.95    -0.07    -0.01   23.073   0.035  multiple  deblend  0 
 296.27   1872.45     0.13    -0.03   23.068   0.035    single  deblend  0 
1925.17    285.35    -0.12    -0.21   23.141   0.037    single  deblend  0 
 626.98   4150.53     0.02     0.47   22.744   0.030    single  deblend  1 
 430.63   1853.73    -0.07     0.03   23.016   0.034    single  isolate  0 
 281.34   2190.02    -0.04     0.11   23.056   0.035  multiple  deblend  0 
 857.61   1910.59     0.10     0.05   23.026   0.034    single  isolate  0 
 861.40   1315.57     0.09    -0.04   23.064   0.035    single  isolate  0 
1141.23   1801.01    -0.03    -0.06   23.046   0.034    single  isolate  0 
1465.47   3875.69     0.04     0.01   23.007   0.033  multiple  deblend  0 
1352.07    599.12    -0.08    -0.15   23.077   0.035    single  deblend  0 
1395.05   2188.98     0.00     0.03   23.054   0.034    single  isolate  0 
1053.37   3296.30     0.00    -0.01   22.990   0.033    single  isolate  0 
 394.14   1624.12    -0.10    -0.00   23.045   0.034    single  isolate  0 
1782.00    969.57    -0.00     0.16   23.026   0.034    single  deblend  1 
1090.03    837.17     0.13     0.00   23.047   0.034    single  isolate  0 
